notice_id,cluster_id,portal_id,copy_index,is_corrigendum,archetype
N000001,OPP000001,P136,0,False,html_ish
N000002,OPP000002,P002,0,False,nodal_a
N000003,OPP000003,P002,0,False,nodal_a
N000004,OPP000004,P227,0,False,plain
N000005,OPP000004,P215,1,False,plain
N000006,OPP000004,P069,2,False,html_ish
N000007,OPP000004,P004,3,False,nodal_b
N000008,OPP000004,P094,4,False,plain
N000009,OPP000005,P011,0,False,terse
N000010,OPP000005,P004,1,True,nodal_b
N000011,OPP000005,P240,2,True,shouty
N000012,OPP000005,P094,3,True,plain
N000013,OPP000005,P088,4,True,plain
N000014,OPP000006,P094,0,False,plain
N000015,OPP000007,P004,0,False,nodal_b
N000016,OPP000007,P098,1,False,municipal
N000017,OPP000008,P238,0,False,plain
N000018,OPP000009,P094,0,False,plain
N000019,OPP000010,P228,0,False,html_ish
N000020,OPP000011,P111,0,False,shouty
N000021,OPP000012,P004,0,False,nodal_b
N000022,OPP000013,P235,0,False,municipal
N000023,OPP000014,P006,0,False,nodal_b
N000024,OPP000014,P215,1,True,plain
N000025,OPP000015,P111,0,False,shouty
N000026,OPP000016,P001,0,False,nodal_a
N000027,OPP000017,P094,0,False,plain
N000028,OPP000018,P087,0,False,plain
N000029,OPP000018,P002,1,True,nodal_a
N000030,OPP000019,P021,0,False,municipal
N000031,OPP000019,P120,1,False,legacy
N000032,OPP000020,P207,0,False,plain
N000033,OPP000020,P088,1,False,plain
N000034,OPP000020,P225,2,False,municipal
N000035,OPP000021,P180,0,False,legacy
N000036,OPP000022,P002,0,False,nodal_a
N000037,OPP000023,P094,0,False,plain
N000038,OPP000024,P020,0,False,plain
N000039,OPP000024,P094,1,False,plain
N000040,OPP000025,P094,0,False,plain
N000041,OPP000025,P044,1,False,plain
N000042,OPP000026,P006,0,False,nodal_b
N000043,OPP000026,P189,1,False,plain
N000044,OPP000026,P002,2,False,nodal_a
N000045,OPP000026,P137,3,False,html_ish
N000046,OPP000026,P005,4,False,nodal_a
N000047,OPP000026,P001,5,True,nodal_a
N000048,OPP000026,P094,6,True,plain
N000049,OPP000026,P003,7,False,nodal_b
N000050,OPP000026,P225,8,False,municipal
N000051,OPP000027,P215,0,False,plain
N000052,OPP000027,P038,1,False,plain
N000053,OPP000028,P094,0,False,plain
N000054,OPP000028,P141,1,False,municipal
N000055,OPP000028,P004,2,True,nodal_b
N000056,OPP000028,P002,3,True,nodal_a
N000057,OPP000028,P195,4,False,html_ish
N000058,OPP000028,P001,5,False,nodal_a
N000059,OPP000029,P094,0,False,plain
N000060,OPP000030,P004,0,False,nodal_b
N000061,OPP000030,P231,1,False,plain
N000062,OPP000030,P172,2,True,municipal
N000063,OPP000030,P063,3,False,shouty
N000064,OPP000031,P004,0,False,nodal_b
N000065,OPP000032,P003,0,False,nodal_b
N000066,OPP000033,P112,0,False,shouty
N000067,OPP000034,P002,0,False,nodal_a
N000068,OPP000035,P001,0,False,nodal_a
N000069,OPP000036,P214,0,False,plain
N000070,OPP000037,P002,0,False,nodal_a
N000071,OPP000037,P094,1,True,plain
N000072,OPP000037,P236,2,False,plain
N000073,OPP000038,P001,0,False,nodal_a
N000074,OPP000038,P238,1,True,plain
N000075,OPP000039,P064,0,False,plain
N000076,OPP000040,P137,0,False,html_ish
N000077,OPP000041,P003,0,False,nodal_b
